QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP50,OLS CP,2,3.17E-02,4.63E-01,0,0,10,0.08209159999999827,2.4168953000000073,0.07172250000000702,3.5163959000000062,7.744320299999998
ADP50,OLS CP,2,3.17E-02,4.63E-01,0,0,10,0.08209159999999827,2.4168953000000073,0.07172250000000702,3.5163959000000062,7.744320299999998
ADP50,LARS,2,3.46E-02,2.26E+01,0,0,10,0.15971349999999518,3.4736766999999986,0.07611219999999719,3.4945247999999935,8.954171900000006
ADP50,LARS,2,3.46E-02,2.26E+01,0,0,10,0.15971349999999518,3.4736766999999986,0.07611219999999719,3.4945247999999935,8.954171900000006
ADP50,OLS SKT,2,3.17E-02,4.63E-01,0,0,10,0.06030649999999582,2.1864630000000034,0.06754139999999609,3.759044799999998,7.717824399999998
ADP50,OLS SKT,2,3.17E-02,4.63E-01,0,0,10,0.06030649999999582,2.1864630000000034,0.06754139999999609,3.759044799999998,7.717824399999998
ADP50,OMP1,2,3.63E+00,3.87E+00,0,0,10,0.039207600000011666,0.798490600000008,0.06587749999999915,2.831645199999997,4.8196935
ADP50,OMP1,2,3.63E+00,3.87E+00,0,0,10,0.039207600000011666,0.798490600000008,0.06587749999999915,2.831645199999997,4.8196935
dVmax,OLS CP,2,4.20E-02,8.60E-01,0,0,10,0.06088959999999588,1.8200975000000028,0.06570800000000077,3.412855300000004,6.901017100000004
dVmax,OLS CP,2,4.20E-02,8.60E-01,0,0,10,0.06088959999999588,1.8200975000000028,0.06570800000000077,3.412855300000004,6.901017100000004
dVmax,LARS,2,3.13E-02,4.14E+00,0,0,10,0.05574479999999937,3.9415731999999934,0.07096070000000054,3.7131928000000016,9.424560099999994
dVmax,LARS,2,3.13E-02,4.14E+00,0,0,10,0.05574479999999937,3.9415731999999934,0.07096070000000054,3.7131928000000016,9.424560099999994
dVmax,OLS SKT,2,4.20E-02,8.60E-01,0,0,10,0.049452900000005684,1.9415331999999808,0.0708131000000094,3.5675304000000096,7.285796500000004
dVmax,OLS SKT,2,4.20E-02,8.60E-01,0,0,10,0.049452900000005684,1.9415331999999808,0.0708131000000094,3.5675304000000096,7.285796500000004
dVmax,OMP1,2,2.38E+00,5.29E+00,0,0,10,0.039282700000001114,0.9015006000000199,0.06487880000000246,3.0353802999999857,5.186331700000011
dVmax,OMP1,2,2.38E+00,5.29E+00,0,0,10,0.039282700000001114,0.9015006000000199,0.06487880000000246,3.0353802999999857,5.186331700000011
ADP90,OLS CP,2,3.23E-02,4.80E-01,0,0,10,0.05073140000001786,4.938892100000004,0.06932800000001293,3.630640800000009,10.491473200000001
ADP90,OLS CP,2,3.23E-02,4.80E-01,0,0,10,0.05073140000001786,4.938892100000004,0.06932800000001293,3.630640800000009,10.491473200000001
ADP90,LARS,2,1.18E-02,2.59E+01,0,0,10,0.058998199999990675,2.9569980999999927,0.07101349999999229,3.730463599999979,8.521470199999982
ADP90,LARS,2,1.18E-02,2.59E+01,0,0,10,0.058998199999990675,2.9569980999999927,0.07101349999999229,3.730463599999979,8.521470199999982
ADP90,OLS SKT,2,3.23E-02,4.80E-01,0,0,10,0.05265579999999659,1.993616099999997,0.06876969999999005,3.4728779000000145,7.2384922000000245
ADP90,OLS SKT,2,3.23E-02,4.80E-01,0,0,10,0.05265579999999659,1.993616099999997,0.06876969999999005,3.4728779000000145,7.2384922000000245
ADP90,OMP1,3,7.48E+00,3.09E+00,0,0,10,0.06808989999998971,0.7507204999999999,0.1620924000000059,2.9149928999999872,4.832233800000012
ADP90,OMP1,3,7.48E+00,3.09E+00,0,0,10,0.06808989999998971,0.7507204999999999,0.1620924000000059,2.9149928999999872,4.832233800000012
Vrest,OLS CP,2,2.71E+02,6.64E+03,0,0,10,0.0475441000000103,3.0626999000000126,0.06579899999999839,3.4045615,8.079798199999999
Vrest,OLS CP,2,2.71E+02,6.64E+03,0,0,10,0.0475441000000103,3.0626999000000126,0.06579899999999839,3.4045615,8.079798199999999
Vrest,LARS,2,5.28E+02,2.90E+04,0,0,10,0.053961799999996174,3.039111300000002,0.06911240000002294,3.771359100000012,8.550377400000002
Vrest,LARS,2,5.28E+02,2.90E+04,0,0,10,0.053961799999996174,3.039111300000002,0.06911240000002294,3.771359100000012,8.550377400000002
Vrest,OLS SKT,2,2.71E+02,6.64E+03,0,0,10,0.07092420000000743,1.8843597000000045,0.0701648000000148,3.4315625000000125,7.002056500000009
Vrest,OLS SKT,2,2.71E+02,6.64E+03,0,0,10,0.07092420000000743,1.8843597000000045,0.0701648000000148,3.4315625000000125,7.002056500000009
Vrest,OMP1,2,2.67E+04,4.35E+04,0,0,10,0.03801209999997468,0.7061198000000104,0.06424179999999069,2.8502477000000113,4.7274752999999805
Vrest,OMP1,2,2.67E+04,4.35E+04,0,0,10,0.03801209999997468,0.7061198000000104,0.06424179999999069,2.8502477000000113,4.7274752999999805
