QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP90,OLS CP,2,2.23E-03,2.36E-03,0,0,500,5.261838700003864,138.3525426999986,0.12759550000191666,1.6719168999989051,168.9666612000001
ADP90,OLS CP,2,2.23E-03,2.36E-03,0,0,500,5.261838700003864,138.3525426999986,0.12759550000191666,1.6719168999989051,168.9666612000001
ADP90,LARS,2,1.26E+00,1.13E+00,0,0,500,5.375464400000055,158.0675240000055,0.13982840000244323,1.7120974999997998,189.69015489999583
ADP90,LARS,2,1.26E+00,1.13E+00,0,0,500,5.375464400000055,158.0675240000055,0.13982840000244323,1.7120974999997998,189.69015489999583
ADP90,OLS SKT,2,2.23E-03,2.36E-03,0,0,500,5.295715100000962,165.84750239999994,0.15557020000414923,1.7790752999935648,205.01194859999669
ADP90,OLS SKT,2,2.23E-03,2.36E-03,0,0,500,5.295715100000962,165.84750239999994,0.15557020000414923,1.7790752999935648,205.01194859999669
ADP90,OMP1,2,3.61E+00,3.78E+00,0,0,500,4.481950299996242,125.47987119999743,0.1496525999973528,1.5738280000005034,153.85045820000232
ADP90,OMP1,2,3.61E+00,3.78E+00,0,0,500,4.481950299996242,125.47987119999743,0.1496525999973528,1.5738280000005034,153.85045820000232
Vrest,OLS CP,3,2.52E-06,2.42E-06,0,0,500,24.869302400002198,159.67018039999675,0.41546789999847533,1.7858176000008825,191.84512330000143
Vrest,OLS CP,3,2.52E-06,2.42E-06,0,0,500,24.869302400002198,159.67018039999675,0.41546789999847533,1.7858176000008825,191.84512330000143
Vrest,LARS,2,1.58E+01,1.72E+01,0,0,500,5.365993800005526,157.87227519999578,0.1393361999944318,1.7960815000042203,191.58353160000115
Vrest,LARS,2,1.58E+01,1.72E+01,0,0,500,5.365993800005526,157.87227519999578,0.1393361999944318,1.7960815000042203,191.58353160000115
Vrest,OLS SKT,3,2.52E-06,2.42E-06,0,0,500,26.423615599996992,150.5361836000011,0.4314130999991903,1.7840709000010975,184.80734539999685
Vrest,OLS SKT,3,2.52E-06,2.42E-06,0,0,500,26.423615599996992,150.5361836000011,0.4314130999991903,1.7840709000010975,184.80734539999685
Vrest,OMP1,2,2.24E+00,2.29E+00,0,0,500,4.021051300005638,124.25106740000047,0.12801419999595964,1.5870617999971728,150.3499645999982
Vrest,OMP1,2,2.24E+00,2.29E+00,0,0,500,4.021051300005638,124.25106740000047,0.12801419999595964,1.5870617999971728,150.3499645999982
dVmax,OLS CP,2,3.45E-04,3.51E-04,0,0,500,4.9408508999986225,153.10408839999582,0.13059030000295024,1.907688599996618,185.3154740999962
dVmax,OLS CP,2,3.45E-04,3.51E-04,0,0,500,4.9408508999986225,153.10408839999582,0.13059030000295024,1.907688599996618,185.3154740999962
dVmax,LARS,2,6.16E-03,7.15E-03,0,0,500,5.335767199998372,151.4922379999989,0.14146679999976186,1.7859945000018342,184.57773360000283
dVmax,LARS,2,6.16E-03,7.15E-03,0,0,500,5.335767199998372,151.4922379999989,0.14146679999976186,1.7859945000018342,184.57773360000283
dVmax,OLS SKT,2,3.45E-04,3.51E-04,0,0,500,5.051985400001286,142.9386822000015,0.14369240000087302,1.719187199996668,175.4133987000023
dVmax,OLS SKT,2,3.45E-04,3.51E-04,0,0,500,5.051985400001286,142.9386822000015,0.14369240000087302,1.719187199996668,175.4133987000023
dVmax,OMP1,2,1.99E+00,1.98E+00,0,0,500,3.7166066999998293,124.3157682999954,0.11806139999680454,1.7113405999989482,149.4761043000035
dVmax,OMP1,2,1.99E+00,1.98E+00,0,0,500,3.7166066999998293,124.3157682999954,0.11806139999680454,1.7113405999989482,149.4761043000035
ADP50,OLS CP,2,2.38E-03,2.40E-03,0,0,500,5.055408500003978,159.8784186999983,0.13666370000282768,1.7914002999968943,194.96924219999346
ADP50,OLS CP,2,2.38E-03,2.40E-03,0,0,500,5.055408500003978,159.8784186999983,0.13666370000282768,1.7914002999968943,194.96924219999346
ADP50,LARS,2,9.23E-01,8.09E-01,0,0,500,5.666498099999444,161.33883909999713,0.13182489999599056,1.9668766999966465,199.30624399999942
ADP50,LARS,2,9.23E-01,8.09E-01,0,0,500,5.666498099999444,161.33883909999713,0.13182489999599056,1.9668766999966465,199.30624399999942
ADP50,OLS SKT,2,2.38E-03,2.40E-03,0,0,500,4.9962532999998075,169.86154420000094,0.1325213000018266,1.8087006999994628,202.45457460000034
ADP50,OLS SKT,2,2.38E-03,2.40E-03,0,0,500,4.9962532999998075,169.86154420000094,0.1325213000018266,1.8087006999994628,202.45457460000034
ADP50,OMP1,2,3.54E+00,3.66E+00,0,0,500,4.423826400001417,195.54304569999658,0.1332304999959888,1.7202316999973846,224.02529200000572
ADP50,OMP1,2,3.54E+00,3.66E+00,0,0,500,4.423826400001417,195.54304569999658,0.1332304999959888,1.7202316999973846,224.02529200000572
