QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
ADP50,OLS CP,2,1.34E-02,5.28E-03,0,0,50,0.4345073000000639,4.644083900000169,0.0663796999999704,0.7406882999998743
ADP50,LARS,2,3.84E+00,3.04E+00,0,0,50,0.5655765000001338,5.42205980000017,0.07540749999998297,0.7850049000001036
ADP50,OMP1,4,2.61E+00,2.39E+00,0,0,50,1.4715747000000192,1.4715747000000192,0.6246816000000308,0.6246816000000308
ADP50,OLS SKT,2,1.34E-02,5.28E-03,0,0,50,0.44337350000000697,4.793594399999847,0.07678370000007817,0.7421217000000979
ADP50,ridge1,2,1.12E-02,3.63E-03,0,0,50,0.4460503999998764,4.804614899999933,0.07055330000002868,0.7639543000000231
ADP50,elastic net 1,4,2.04E-02,1.30E-02,0,0,50,1.8127434000000449,1.8127434000000449,0.6356773999998495,0.6356773999998495
ADP50,lasso1,4,2.19E-02,1.46E-02,0,0,50,2.2075216000000637,2.2075216000000637,0.7093376999998782,0.7093376999998782
