QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP50,OLS CP,2,2.70E-03,2.49E-03,0,0,200,0.7056978000000527,37.30309680000005,0.06692969999994602,3.481805599999916,52.498023500000045
ADP50,OLS CP,2,2.70E-03,2.49E-03,0,0,200,0.7056978000000527,37.30309680000005,0.06692969999994602,3.481805599999916,52.498023500000045
ADP50,LARS,2,9.72E-01,1.03E+00,0,0,200,0.7891938999996455,25.567686799999592,0.07406399999990754,3.6208654000001843,40.86388429999988
ADP50,LARS,2,9.72E-01,1.03E+00,0,0,200,0.7891938999996455,25.567686799999592,0.07406399999990754,3.6208654000001843,40.86388429999988
ADP50,OLS SKT,2,2.70E-03,2.49E-03,0,0,200,0.7965822999999546,42.61407449999979,0.06791549999979907,3.5947172000001046,59.50008270000035
ADP50,OLS SKT,2,2.70E-03,2.49E-03,0,0,200,0.7965822999999546,42.61407449999979,0.06791549999979907,3.5947172000001046,59.50008270000035
ADP50,OMP1,2,6.02E+01,5.79E+01,0,0,200,0.49611259999983304,20.394765800000187,0.07539100000030885,3.0136561999997866,29.030156899999838
ADP50,OMP1,2,6.02E+01,5.79E+01,0,0,200,0.49611259999983304,20.394765800000187,0.07539100000030885,3.0136561999997866,29.030156899999838
dVmax,OLS CP,2,3.54E-04,4.08E-04,0,0,200,0.9826769999999669,39.62685829999964,0.0730837999999494,4.265783400000146,57.02916540000024
dVmax,OLS CP,2,3.54E-04,4.08E-04,0,0,200,0.9826769999999669,39.62685829999964,0.0730837999999494,4.265783400000146,57.02916540000024
dVmax,LARS,4,1.99E-04,2.39E-04,0,0,200,4.221622399999887,20.449948300000415,0.8015137000002142,3.330898899999738,31.251541199999792
dVmax,LARS,4,1.99E-04,2.39E-04,0,0,200,4.221622399999887,20.449948300000415,0.8015137000002142,3.330898899999738,31.251541199999792
dVmax,OLS SKT,2,3.54E-04,4.08E-04,0,0,200,0.8494421999998849,44.18464509999967,0.07177929999988919,3.7413667000000714,61.90591280000035
dVmax,OLS SKT,2,3.54E-04,4.08E-04,0,0,200,0.8494421999998849,44.18464509999967,0.07177929999988919,3.7413667000000714,61.90591280000035
dVmax,OMP1,2,1.59E+02,1.60E+02,0,0,200,0.6064959999998791,21.672860799999853,0.06498569999985193,3.367143400000259,30.430408899999748
dVmax,OMP1,2,1.59E+02,1.60E+02,0,0,200,0.6064959999998791,21.672860799999853,0.06498569999985193,3.367143400000259,30.430408899999748
Vrest,OLS CP,3,3.74E-06,4.24E-06,0,0,200,2.1057074999998804,38.823849899999914,0.19570160000012038,3.5914498000001913,54.940860699999575
Vrest,OLS CP,3,3.74E-06,4.24E-06,0,0,200,2.1057074999998804,38.823849899999914,0.19570160000012038,3.5914498000001913,54.940860699999575
Vrest,LARS,2,9.80E-03,1.05E-02,0,0,200,0.709836400000313,19.97224449999976,0.09537829999999303,2.9888590000000477,29.299269000000095
Vrest,LARS,2,9.80E-03,1.05E-02,0,0,200,0.709836400000313,19.97224449999976,0.09537829999999303,2.9888590000000477,29.299269000000095
Vrest,OLS SKT,3,3.72E-06,4.22E-06,0,0,200,2.8904344999996283,38.408046099999865,0.5447067000000061,4.296442100000149,56.74370110000018
Vrest,OLS SKT,3,3.72E-06,4.22E-06,0,0,200,2.8904344999996283,38.408046099999865,0.5447067000000061,4.296442100000149,56.74370110000018
Vrest,OMP1,3,1.98E-02,1.31E-01,0,0,200,1.2901185999999143,19.27472540000008,0.17143639999994775,2.964542299999721,27.752956399999675
Vrest,OMP1,3,1.98E-02,1.31E-01,0,0,200,1.2901185999999143,19.27472540000008,0.17143639999994775,2.964542299999721,27.752956399999675
ADP90,OLS CP,2,2.51E-03,2.41E-03,0,0,200,0.7951388999999836,39.61364589999994,0.06697669999994105,3.549757600000248,56.10413449999987
ADP90,OLS CP,2,2.51E-03,2.41E-03,0,0,200,0.7951388999999836,39.61364589999994,0.06697669999994105,3.549757600000248,56.10413449999987
ADP90,LARS,2,9.33E-01,1.00E+00,0,0,200,0.7967724999998609,25.692728800000168,0.07001990000026126,3.0785218000000896,37.804891800000405
ADP90,LARS,2,9.33E-01,1.00E+00,0,0,200,0.7967724999998609,25.692728800000168,0.07001990000026126,3.0785218000000896,37.804891800000405
ADP90,OLS SKT,2,2.51E-03,2.41E-03,0,0,200,0.7882716000003711,40.57701850000012,0.0685726000001523,3.6333747999997286,56.42909899999995
ADP90,OLS SKT,2,2.51E-03,2.41E-03,0,0,200,0.7882716000003711,40.57701850000012,0.0685726000001523,3.6333747999997286,56.42909899999995
ADP90,OMP1,2,5.01E+02,3.68E+02,0,0,200,0.5220743999998376,19.430654600000253,0.06682270000010249,2.971970600000077,27.836181600000145
ADP90,OMP1,2,5.01E+02,3.68E+02,0,0,200,0.5220743999998376,19.430654600000253,0.06682270000010249,2.971970600000077,27.836181600000145
