QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP50,OLS CP,2,2.70E-03,2.49E-03,0,0,200,0.9431937999997899,43.95797240000138,0.06766509999943082,3.727723199999673,61.26100690000021
ADP50,OLS CP,2,2.70E-03,2.49E-03,0,0,200,0.9431937999997899,43.95797240000138,0.06766509999943082,3.727723199999673,61.26100690000021
ADP50,LARS,2,3.13E-03,3.20E-03,0,0,200,1.0987216000012268,73.07517050000024,0.07236130000092089,3.861474899998939,94.57826090000162
ADP50,LARS,2,3.13E-03,3.20E-03,0,0,200,1.0987216000012268,73.07517050000024,0.07236130000092089,3.861474899998939,94.57826090000162
ADP50,OLS SKT,2,2.70E-03,2.49E-03,0,0,200,0.9340775000000576,41.17530540000007,0.09365790000083507,3.735736000000543,58.98691130000043
ADP50,OLS SKT,2,2.70E-03,2.49E-03,0,0,200,0.9340775000000576,41.17530540000007,0.09365790000083507,3.735736000000543,58.98691130000043
ADP50,OMP1,5,2.24E+00,2.21E+00,0,0,200,22.074343400001453,22.074343400001453,2.9621347000011156,2.9621347000011156,30.921933899999203
ADP50,OMP1,5,2.24E+00,2.21E+00,0,0,200,22.074343400001453,22.074343400001453,2.9621347000011156,2.9621347000011156,30.921933899999203
dVmax,OLS CP,2,3.54E-04,4.08E-04,0,0,200,0.7589009999992413,38.742871399999785,0.06736219999947934,3.6036437999991904,54.72948540000107
dVmax,OLS CP,2,3.54E-04,4.08E-04,0,0,200,0.7589009999992413,38.742871399999785,0.06736219999947934,3.6036437999991904,54.72948540000107
