QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,7.945030000002589,222.0536699000004,0.19603730000380892,2.2741190000015195,270.0062870999973
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,7.945030000002589,222.0536699000004,0.19603730000380892,2.2741190000015195,270.0062870999973
ADP90,LARS,2,9.04E-01,9.34E-01,0,0,500,6.57841969999572,170.3370808000036,0.16827829999965616,2.1897661999973934,209.12778740000067
ADP90,LARS,2,9.04E-01,9.34E-01,0,0,500,6.57841969999572,170.3370808000036,0.16827829999965616,2.1897661999973934,209.12778740000067
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,6.279582299997855,173.6288091000024,0.14533959999971557,1.9269399999975576,210.62172489999648
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,6.279582299997855,173.6288091000024,0.14533959999971557,1.9269399999975576,210.62172489999648
ADP90,OMP1,2,1.46E+00,1.48E+00,0,0,500,4.380201100000704,142.7676993999994,0.1396965000021737,1.718214499996975,174.64444860000367
ADP90,OMP1,2,1.46E+00,1.48E+00,0,0,500,4.380201100000704,142.7676993999994,0.1396965000021737,1.718214499996975,174.64444860000367
Vrest,OLS CP,3,2.41E-06,2.61E-06,0,0,500,27.35822190000181,172.69041110000398,0.4419209999978193,1.9430738999944879,207.97497119999753
Vrest,OLS CP,3,2.41E-06,2.61E-06,0,0,500,27.35822190000181,172.69041110000398,0.4419209999978193,1.9430738999944879,207.97497119999753
Vrest,LARS,2,9.80E-03,1.01E-02,0,0,500,5.420431999998982,150.6701097999976,0.1365280999962124,1.7022009000065736,182.84921129999566
Vrest,LARS,2,9.80E-03,1.01E-02,0,0,500,5.420431999998982,150.6701097999976,0.1365280999962124,1.7022009000065736,182.84921129999566
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,27.466772200001287,215.70310600000084,0.45559079999657115,1.9006326000016998,251.46040470000298
Vrest,OLS SKT,3,2.41E-06,2.63E-06,0,0,500,27.466772200001287,215.70310600000084,0.45559079999657115,1.9006326000016998,251.46040470000298
Vrest,OMP1,2,9.83E-03,1.00E-02,0,0,500,4.407932699999947,156.98165449999942,0.14160339999943972,1.7767944999941392,186.62395580000157
Vrest,OMP1,2,9.83E-03,1.00E-02,0,0,500,4.407932699999947,156.98165449999942,0.14160339999943972,1.7767944999941392,186.62395580000157
dVmax,OLS CP,4,3.97E-04,3.21E-04,0,0,500,183.74159489999874,183.74159489999874,2.0530748999954085,2.0530748999954085,224.1455249999999
dVmax,OLS CP,4,3.97E-04,3.21E-04,0,0,500,183.74159489999874,183.74159489999874,2.0530748999954085,2.0530748999954085,224.1455249999999
dVmax,LARS,4,1.95E-04,1.94E-04,0,0,500,165.00824000000284,165.00824000000284,1.809499800001504,1.809499800001504,197.669180900004
dVmax,LARS,4,1.95E-04,1.94E-04,0,0,500,165.00824000000284,165.00824000000284,1.809499800001504,1.809499800001504,197.669180900004
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,5.5638758999994025,169.40580259999842,0.14833099999668775,1.900549799996952,204.69103330000507
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,5.5638758999994025,169.40580259999842,0.14833099999668775,1.900549799996952,204.69103330000507
dVmax,OMP1,2,1.64E+02,1.64E+02,0,0,500,4.7302692999946885,146.4648864999981,0.14455839999573072,1.6977663000070606,175.28323159999854
dVmax,OMP1,2,1.64E+02,1.64E+02,0,0,500,4.7302692999946885,146.4648864999981,0.14455839999573072,1.6977663000070606,175.28323159999854
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,5.283838900002593,168.64848399999755,0.14535159999650205,1.8872784999985015,203.39746720000403
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,5.283838900002593,168.64848399999755,0.14535159999650205,1.8872784999985015,203.39746720000403
ADP50,LARS,2,9.38E-01,9.57E-01,0,0,500,5.40755640000134,165.1066492999962,0.13625709999905666,1.7365944999983185,196.64003820000653
ADP50,LARS,2,9.38E-01,9.57E-01,0,0,500,5.40755640000134,165.1066492999962,0.13625709999905666,1.7365944999983185,196.64003820000653
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,6.1930561999979545,198.77779659999942,0.16124049999780254,2.1463617000044906,238.58369479999965
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,6.1930561999979545,198.77779659999942,0.16124049999780254,2.1463617000044906,238.58369479999965
ADP50,OMP1,2,1.54E+00,1.62E+00,0,0,500,5.079742300004,172.62699570000404,0.16090829999302514,1.909843000001274,204.56443159999617
ADP50,OMP1,2,1.54E+00,1.62E+00,0,0,500,5.079742300004,172.62699570000404,0.16090829999302514,1.909843000001274,204.56443159999617
